GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
ILP_CW1,uk.ac.ed.acp.cw1.service,PathfindingService.Node,20,0,0,0,7,0,1,0,1,0
ILP_CW1,uk.ac.ed.acp.cw1.service,DroneService,6,576,5,57,1,131,5,53,0,27
ILP_CW1,uk.ac.ed.acp.cw1.service,ExternalAPIService,0,133,0,8,0,32,0,9,0,5
ILP_CW1,uk.ac.ed.acp.cw1.service,PathfindingService,249,1188,33,123,56,233,28,79,4,25
ILP_CW1,uk.ac.ed.acp.cw1.service,AttributeComparator,3,159,0,34,1,30,1,26,1,3
ILP_CW1,uk.ac.ed.acp.cw1.service,DistanceService,0,233,0,24,0,35,0,17,0,5
ILP_CW1,uk.ac.ed.acp.cw1.configuration,IlpRestServiceConfig,3,21,3,1,0,9,2,3,0,3
ILP_CW1,uk.ac.ed.acp.cw1,Application,5,3,0,0,2,1,1,1,1,1
ILP_CW1,uk.ac.ed.acp.cw1.validation.validators,ClosedPolygonValidator,0,34,1,7,0,4,1,5,0,2
ILP_CW1,uk.ac.ed.acp.cw1.validation.validators,ValidAngleValidator,0,18,0,4,0,3,0,4,0,2
ILP_CW1,uk.ac.ed.acp.cw1.controller,ServiceController,8,415,1,9,1,92,2,22,1,18
